"ID"|"project_name"|"subcategory_name"|"category_name"|"country"|"currency"|"launch_date"|"deadline_date"|"duration_days"|"goal"|"money_raised"|"no_of_backers"|"outcome"
1|"Ragdolls"|"Webseries"|"Film & Video"|"US"|"USD"|"2013-04-25 00:00:00"|"2013-05-25 00:00:00"|30|15000.0|20.0|3|"failed"
2|"One To Ten"|"Shorts"|"Film & Video"|"GB"|"GBP"|"2015-11-16 00:00:00"|"2015-12-16 00:00:00"|30|223.68|413.81|23|"successful"
3|"Future Gun - A short film about kids and advanced hardware"|"Animation"|"Film & Video"|"US"|"USD"|"2013-08-28 00:00:00"|"2013-09-27 00:00:00"|30|5000.0|1497.0|28|"failed"
4|"Fourth Wave Apparel—Vintage Fashion for the Modern Feminist"|"Apparel"|"Fashion"|"US"|"USD"|"2014-07-22 00:00:00"|"2014-08-21 00:00:00"|30|6000.0|8795.0|218|"successful"
5|"The Rich Lifestyle"|"Documentary"|"Film & Video"|"US"|"USD"|"2016-08-24 00:00:00"|"2016-09-28 00:00:00"|35|2000000.0|2.0|2|"failed"
6|"Perils Galore!"|"Illustration"|"Art"|"US"|"USD"|"2012-09-25 00:00:00"|"2012-11-01 00:00:00"|37|2500.0|230.0|5|"failed"
7|"In a Dark Dark House - Directed by Larry Moss"|"Theater"|"Theater"|"US"|"USD"|"2014-07-01 00:00:00"|"2014-08-15 00:00:00"|45|55000.0|9316.0|45|"failed"
8|"CHARLIEFOXTROTNY"|"Webseries"|"Film & Video"|"US"|"USD"|"2014-05-21 00:00:00"|"2014-06-20 00:00:00"|30|6000.0|161.0|4|"failed"
9|"Fat Englishmen - Beer and Sumo"|"Comedy"|"Film & Video"|"US"|"USD"|"2015-03-03 00:00:00"|"2015-04-02 00:00:00"|30|50000.0|0.0|0|"failed"
10|"bear elements old-fashioned shave and beard care for men"|"Crafts"|"Crafts"|"US"|"USD"|"2016-04-14 00:00:00"|"2016-05-14 00:00:00"|30|12000.0|306.0|11|"failed"
11|"DigIndustrial Art"|"Digital Art"|"Art"|"US"|"USD"|"2014-06-19 00:00:00"|"2014-07-09 00:00:00"|20|30000.0|111.0|4|"failed"
12|"Expanding Farm to service the local Food Bank"|"Farms"|"Food"|"US"|"USD"|"2016-06-13 00:00:00"|"2016-07-13 00:00:00"|30|2500.0|405.0|5|"failed"
13|"Church Hive. Church hiring made easy!"|"Web"|"Technology"|"US"|"USD"|"2016-09-01 00:00:00"|"2016-10-01 00:00:00"|30|16800.0|101.0|2|"failed"
14|"The Visual Media Directory Project"|"Public Art"|"Art"|"US"|"USD"|"2012-03-07 00:00:00"|"2012-05-06 00:00:00"|60|10000.0|2.0|2|"failed"
15|"Too Sweet - The Not So Serious Side to Diabetes"|"Nonfiction"|"Publishing"|"US"|"USD"|"2014-01-16 00:00:00"|"2014-02-15 00:00:00"|30|2500.0|2525.0|6|"successful"
16|"“Baby Hungry” Short Film Finishing Funds"|"Shorts"|"Film & Video"|"US"|"USD"|"2010-10-27 00:00:00"|"2010-11-26 00:00:00"|30|1500.0|1525.0|23|"successful"
17|"Turn ""solvents-forgive yr. blood"" into 12 inches of vinyl!!"|"Music"|"Music"|"US"|"USD"|"2011-04-20 00:00:00"|"2011-05-20 00:00:00"|30|1000.0|1494.0|43|"successful"
18|"Fishin' for Chickens"|"Shorts"|"Film & Video"|"US"|"USD"|"2011-11-14 00:00:00"|"2011-11-30 00:00:00"|16|2695.0|3667.13|75|"successful"
19|"ROAM RECORD FUND"|"Rock"|"Music"|"US"|"USD"|"2010-09-29 00:00:00"|"2010-10-29 00:00:00"|30|5000.0|5847.0|99|"successful"
20|"William Charles and Dirt Road Trippers NEW EP"|"Rock"|"Music"|"US"|"USD"|"2012-10-09 00:00:00"|"2012-12-08 00:00:00"|60|800.0|425.0|8|"failed"
21|"Vega - Six String Theory - Alternative Rap Album Production"|"Hip-Hop"|"Music"|"US"|"USD"|"2014-04-14 00:00:00"|"2014-05-14 00:00:00"|30|3500.0|1.0|1|"failed"
22|"Life Planner"|"Product Design"|"Design"|"GB"|"GBP"|"2015-11-09 00:00:00"|"2015-12-08 00:00:00"|29|10004.09|4453.34|161|"failed"
23|"Number Ten Pond - 2014 Calendar"|"Photography"|"Photography"|"US"|"USD"|"2013-07-26 00:00:00"|"2013-08-20 00:00:00"|25|3800.0|1488.0|43|"failed"
24|"Chosen Gospel single 'Make me a Believer'"|"World Music"|"Music"|"GB"|"GBP"|"2013-08-13 00:00:00"|"2013-09-03 00:00:00"|21|701.02|20.25|3|"failed"
25|"OILOVE YOU"|"Food"|"Food"|"US"|"USD"|"2014-09-17 00:00:00"|"2014-11-07 00:00:00"|51|17000.0|20.0|1|"failed"
26|"Up Against The Downturn"|"Documentary"|"Film & Video"|"US"|"USD"|"2011-06-22 00:00:00"|"2011-07-22 00:00:00"|30|5600.0|1026.0|9|"failed"
27|"Mosquito Wars"|"Documentary"|"Film & Video"|"US"|"USD"|"2012-06-13 00:00:00"|"2012-07-13 00:00:00"|30|15000.0|1401.0|11|"failed"
28|"Bev's First Studio EP! - The Noble House of Pancake"|"Pop"|"Music"|"US"|"USD"|"2014-11-14 00:00:00"|"2014-12-14 00:00:00"|30|12000.0|12545.0|224|"successful"
29|"Clean Water For Africa"|"Narrative Film"|"Film & Video"|"US"|"USD"|"2014-08-12 00:00:00"|"2014-10-11 00:00:00"|60|50.0|30.0|2|"failed"
30|"Mercurial Theatre Presents: HP Lovecraft's ""Call of Cthulhu"""|"Experimental"|"Theater"|"US"|"USD"|"2017-05-09 00:00:00"|"2017-06-08 00:00:00"|30|5000.0|1651.0|25|"failed"
31|"BLACKOUT: The Eradication Protocols"|"Comic Books"|"Comics"|"US"|"USD"|"2017-05-09 00:00:00"|"2017-06-18 00:00:00"|40|5200.0|6419.0|225|"successful"
32|"Men's Fashion, the next big thing."|"Fashion"|"Fashion"|"US"|"USD"|"2014-06-05 00:00:00"|"2014-07-05 00:00:00"|30|800.0|0.0|0|"failed"
33|"Jack Daniels Cake"|"Food"|"Food"|"US"|"USD"|"2014-07-18 00:00:00"|"2014-08-17 00:00:00"|30|3000.0|0.0|0|"failed"
34|"See the time in every timezone on earth on one Orbi Clock"|"Design"|"Design"|"US"|"USD"|"2014-02-19 00:00:00"|"2014-04-05 00:00:00"|45|8900.0|281.0|5|"failed"
